Model,Replication,Accuracy,F1 Score,Recall,ROC AUC,Best Parameters
Logistic Regression,1,0.9755,0.9764,0.9932,0.9949,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9720,0.9735,0.9671,0.9953,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,2,0.9755,0.9769,0.9801,0.9925,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9615,0.9630,0.9533,0.9962,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,3,0.9790,0.9793,0.9930,0.9972,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9615,0.9619,0.9456,0.9927,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}"
Logistic Regression,4,0.9895,0.9895,0.9861,0.9991,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9510,0.9500,0.9568,0.9932,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,5,0.9755,0.9751,0.9648,0.9976,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9650,0.9650,0.9718,0.9911,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,6,0.9685,0.9686,1.0000,0.9906,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9545,0.9553,0.9329,0.9906,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,7,0.9825,0.9837,0.9742,0.9959,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9720,0.9737,0.9867,0.9979,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,8,0.9650,0.9669,0.9733,0.9953,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9580,0.9586,0.9586,0.9915,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,9,0.9790,0.9806,0.9870,0.9973,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9755,0.9745,0.9781,0.9946,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,10,0.9720,0.9706,0.9851,0.9957,"{'C': 1, 'max_iter': 10000}"
Random Forest,10,0.9650,0.9632,0.9493,0.9952,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,11,0.9685,0.9705,0.9673,0.9949,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9406,0.9354,0.9248,0.9911,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,12,0.9685,0.9684,0.9650,0.9977,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9825,0.9815,0.9708,0.9996,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
